"observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180508,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"1.22","mean",0.1,"standard_error",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180507,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180506,148,"Polyps per area",47,"units cm^-2",NA,NA,"126","mean",4.7,"standard_error",NA,NA,"Counts"
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180505,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180504,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180503,46,"Size at maturity",57,"cm^2",NA,NA,"59.42921586","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138267,1,9,68,"Acropora gemmifera",178,"Lizard Island",-14.6689,145.4594,192,NA,180502,12,"Polyp fecundity",6,"units",NA,NA,"6.448","raw_value",0.145,"standard_error",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180514,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"1.47","mean",0.11,"standard_error",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180513,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180512,148,"Polyps per area",47,"units cm^-2",NA,NA,"112","mean",3.2,"standard_error",NA,NA,"Counts"
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180511,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180510,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
138268,1,9,80,"Acropora hyacinthus",178,"Lizard Island",-14.6689,145.4594,192,NA,180509,12,"Polyp fecundity",6,"units",NA,NA,"5.576","raw_value",0.217,"standard_error",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180521,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"1.1","mean",0.11,"standard_error",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180520,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180519,148,"Polyps per area",47,"units cm^-2",NA,NA,"87","mean",5.3,"standard_error",NA,NA,"Counts"
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180518,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180517,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180516,46,"Size at maturity",57,"cm^2",NA,NA,"45.3106195","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138269,1,9,109,"Acropora millepora",178,"Lizard Island",-14.6689,145.4594,192,NA,180515,12,"Polyp fecundity",6,"units",NA,NA,"5.139","raw_value",0.145,"standard_error",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180528,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"1.55","mean",0.11,"standard_error",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180527,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180526,148,"Polyps per area",47,"units cm^-2",NA,NA,"50","mean",3.3,"standard_error",NA,NA,"Counts"
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180525,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180524,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180523,46,"Size at maturity",57,"cm^2",NA,NA,"39.30972449","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138270,1,9,115,"Acropora nana",178,"Lizard Island",-14.6689,145.4594,192,NA,180522,12,"Polyp fecundity",6,"units",NA,NA,"4.461","raw_value",0.149,"standard_error",NA,NA,""
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178602,214,"Mature egg diameter",39,"µm",NA,NA,"500","raw_value",NA,"",NA,NA,"Measured from dissected gonads"
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178601,214,"Mature egg diameter",39,"µm",NA,NA,"360","raw_value",NA,"",NA,NA,"Measured from sections"
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178600,213,"Corallite width",29,"cm",NA,NA,"1","raw_value",NA,"",NA,NA,""
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178599,211,"Eggs per area",47,"units cm^-2",NA,NA,"1527.8","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178598,148,"Polyps per area",47,"units cm^-2",NA,NA,"1.273","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178597,143,"Water depth",9,"m",NA,NA,"5.5","median",2,"range",9,NA,""
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178596,142,"Habitat type",10,"cat",NA,NA,"back","raw_value",NA,"",NA,NA,""
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178595,46,"Size at maturity",29,"cm",NA,NA,"4","raw_value",NA,"",NA,NA,""
137894,1,9,648,"Dipsastraea favus",178,"Lizard Island",-14.6689,145.4594,391,NA,178594,12,"Polyp fecundity",6,"units",NA,NA,"1200","raw_value",NA,"",NA,NA,""
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180535,212,"Ratio of female to male gonads",66,"x:y",NA,NA,"0.37","mean",0.14,"standard_error",NA,NA,""
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180534,151,"Season",10,"cat",NA,NA,"Nov","raw_value",NA,"",NA,NA,""
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180533,148,"Polyps per area",47,"units cm^-2",NA,NA,"8.5","mean",1.7,"standard_error",NA,NA,"Counts"
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180532,143,"Water depth",9,"m",NA,NA,"2","median",1,"range",3,NA,""
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180531,142,"Habitat type",10,"cat",NA,NA,"crest","raw_value",NA,"",NA,NA,""
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180530,46,"Size at maturity",57,"cm^2",NA,NA,"27.95117054","raw_value",NA,"",NA,NA,"We follow a different definition than the one in the resource paper. The colony diameter at which a coral is observed to start producing gametes and reproducing, instead of the size in which all colonies are reproducing."
138271,1,9,805,"Goniastrea retiformis",178,"Lizard Island",-14.6689,145.4594,192,NA,180529,12,"Polyp fecundity",6,"units",NA,NA,"45.818","raw_value",1.63,"standard_error",NA,NA,""
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178585,214,"Mature egg diameter",39,"µm",NA,NA,"750","raw_value",NA,"",NA,NA,"Measured from dissected gonads"
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178584,214,"Mature egg diameter",39,"µm",NA,NA,"600","raw_value",NA,"",NA,NA,"Measured from sections"
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178583,213,"Corallite width",29,"cm",NA,NA,"2.5","raw_value",NA,"",NA,NA,""
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178582,211,"Eggs per area",47,"units cm^-2",NA,NA,"356.5","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178581,148,"Polyps per area",47,"units cm^-2",NA,NA,"0.127","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178580,143,"Water depth",9,"m",NA,NA,"5.5","median",2,"range",9,NA,""
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178579,142,"Habitat type",10,"cat",NA,NA,"back","raw_value",NA,"",NA,NA,""
137892,1,9,925,"Lobophyllia corymbosa",178,"Lizard Island",-14.6689,145.4594,391,NA,178578,12,"Polyp fecundity",6,"units",NA,NA,"2800","raw_value",NA,"",NA,NA,""
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178593,214,"Mature egg diameter",39,"µm",NA,NA,"150","raw_value",NA,"",NA,NA,"Measured from sections"
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178592,213,"Corallite width",29,"cm",NA,NA,"0.1","raw_value",NA,"",NA,NA,""
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178591,211,"Eggs per area",47,"units cm^-2",NA,NA,"2750.19","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178590,148,"Polyps per area",47,"units cm^-2",NA,NA,"38.197","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178589,143,"Water depth",9,"m",NA,NA,"5.5","median",2,"range",9,NA,""
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178588,142,"Habitat type",10,"cat",NA,NA,"back","raw_value",NA,"",NA,NA,""
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178587,46,"Size at maturity",29,"cm",NA,NA,"8","raw_value",NA,"",NA,NA,""
137893,1,9,1271,"Porites australiensis",178,"Lizard Island",-14.6689,145.4594,391,NA,178586,12,"Polyp fecundity",6,"units",NA,NA,"72","raw_value",NA,"",NA,NA,""
137891,1,9,1304,"Porites lutea",178,"Lizard Island",-14.6689,145.4594,391,NA,178577,214,"Mature egg diameter",39,"µm",NA,NA,"180","raw_value",NA,"",NA,NA,"Measured from sections"
137891,1,9,1304,"Porites lutea",178,"Lizard Island",-14.6689,145.4594,391,NA,178576,213,"Corallite width",29,"cm",NA,NA,"0.1","raw_value",NA,"",NA,NA,""
137891,1,9,1304,"Porites lutea",178,"Lizard Island",-14.6689,145.4594,391,NA,178575,211,"Eggs per area",47,"units cm^-2",NA,NA,"2750.19","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137891,1,9,1304,"Porites lutea",178,"Lizard Island",-14.6689,145.4594,391,NA,178574,148,"Polyps per area",47,"units cm^-2",NA,NA,"38.197","raw_value",NA,"",NA,NA,"estimated from a colony with 10cm diameter"
137891,1,9,1304,"Porites lutea",178,"Lizard Island",-14.6689,145.4594,391,NA,178573,143,"Water depth",9,"m",NA,NA,"5.5","median",2,"range",9,NA,""
137891,1,9,1304,"Porites lutea",178,"Lizard Island",-14.6689,145.4594,391,NA,178572,142,"Habitat type",10,"cat",NA,NA,"back","raw_value",NA,"",NA,NA,""
